event_at,event_type,symbol,action,contract,strike,expiry,qty,premium,delta,iv,dte,cash_before,equity_before,filter_earnings,filter_ma_trend,filter_vol,filter_iv_rank,market_vix,market_spy_above_200ma,skip_reason,pnl,exit_reason,notes
2026-06-01T14:25:55.028068,skip,MSFT,sell_put,,,,,,,,,102431.03,102431.03,,,,,VIXY=23.39,1,insufficient_funds,,,
2026-06-01T14:33:15.048425,entry,MSFT,sell_put,MSFT260603P00442500,442.5,2026-06-03,1,1.36,-0.1468,,2,102586.91,102412.91,PASS,PASS,PASS,,VIXY=24.06,1,,,,size=1
2026-06-01T14:41:19.326134,skip,TSM,sell_put,,,,,,,,,102723.89,102339.89,,,,,VIXY=23.52,1,insufficient_funds,,,
2026-06-01T14:49:13.345951,skip,NFLX,sell_put,,,,,,,,,102723.89,102366.89,,,,,VIXY=23.50,1,[ma_trend] 股价 $85.64 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T14:57:18.350906,skip,TSM,sell_put,,,,,,,,,102723.89,102359.89,,,,,VIXY=24.30,1,insufficient_funds,,,
2026-06-01T15:01:45.162906,skip,TSM,sell_put,,,,,,,,,102723.89,102376.89,,,,,VIXY=23.57,1,insufficient_funds,,,
2026-06-01T15:09:24.110304,skip,LHX,sell_put,,,,,,,,,102723.89,102326.89,,,,,VIXY=23.57,1,[sector_etf] ITA(aerospace_defense) 今日 -2.7% < -2% 拦截,,,filter=other
2026-06-01T15:17:07.254850,skip,TSM,sell_put,,,,,,,,,102723.89,102371.89,,,,,VIXY=23.61,1,insufficient_funds,,,
2026-06-01T15:25:26.280755,skip,NFLX,sell_put,,,,,,,,,102723.89,102378.89,,,,,VIXY=23.58,1,[ma_trend] 股价 $85.86 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T15:33:16.156088,skip,TSM,sell_put,,,,,,,,,102723.89,102387.89,,,,,VIXY=23.51,1,insufficient_funds,,,
2026-06-01T15:41:17.782633,skip,NFLX,sell_put,,,,,,,,,102723.89,102398.89,,,,,VIXY=23.51,1,[ma_trend] 股价 $85.82 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T15:49:29.252898,skip,NFLX,sell_put,,,,,,,,,102723.89,102378.89,,,,,VIXY=24.30,1,[ma_trend] 股价 $85.83 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T15:57:13.622716,skip,NFLX,sell_put,,,,,,,,,102723.89,102372.89,,,,,VIXY=23.66,1,[ma_trend] 股价 $85.91 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:01:49.214867,skip,NFLX,sell_put,,,,,,,,,102723.89,102374.89,,,,,VIXY=24.30,1,[ma_trend] 股价 $86.00 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:09:06.639280,skip,NFLX,sell_put,,,,,,,,,102723.89,102356.89,,,,,VIXY=23.71,1,[ma_trend] 股价 $85.91 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:17:27.088650,skip,NFLX,sell_put,,,,,,,,,102723.89,102295.89,,,,,VIXY=23.72,1,[ma_trend] 股价 $85.94 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:25:31.744538,skip,NFLX,sell_put,,,,,,,,,102723.89,102226.89,,,,,VIXY=23.60,1,[ma_trend] 股价 $86.03 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:33:36.827998,skip,NFLX,sell_put,,,,,,,,,102723.89,102250.89,,,,,VIXY=23.59,1,[ma_trend] 股价 $86.03 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
2026-06-01T16:41:33.034345,skip,NFLX,sell_put,,,,,,,,,102723.89,102256.89,,,,,VIXY=23.62,1,[ma_trend] 股价 $86.03 < MA50 $92.92（下跌趋势）,,,filter=ma_trend
